Fecha,RIN_Millones_USD,Tipo_Cambio_PEN,IPC_Indice,PBI_Mensual_Indice,Exportaciones_MM,M2_Soles_MM
2014-11-01,63250.0,2.925075,-0.149460647587778,147.391997013958,3151.47189621785,266055.883472
2014-12-01,62308.0,2.9615,0.228891578078382,159.68553972887,3383.85097537803,275282.466191
2015-01-01,62619.0,3.005525,0.170295685735701,138.460036099812,2822.26775116423,274211.500774
2015-02-01,61896.0,3.078525,0.30346893023652,137.711400502076,2626.61760161318,276090.415277
2015-03-01,61323.0,3.09168181818182,0.764664131404038,148.5461780221,2698.44977981819,273192.194208
2015-04-01,61627.0,3.1199525,0.390506491415774,152.200581917623,2421.50121535365,274847.83807
2015-05-01,60413.0,3.15045,0.564365427803757,150.244868495168,2662.39715316244,276256.319732
2015-06-01,60017.0,3.16123809523809,0.332341348473706,150.610161862057,3199.34193833287,275778.732473
2015-07-01,59734.0,3.18125,0.450786388967827,153.229934143432,2858.85838716327,278596.075437
2015-08-01,60613.0,3.23835714285714,0.377226121085694,149.403470697751,3051.08796225001,271630.89981
2015-09-01,61439.0,3.21861363636364,0.0275381794493309,151.861936248684,2729.08601561383,269397.740606
2015-10-01,62172.0,3.248375,0.142799384312569,155.549138143263,3113.61587626089,277093.66425
2015-11-01,62196.0,3.33664285714286,0.344071735952856,153.202065975375,2945.70673018416,281957.336714
2015-12-01,61485.0,3.38266666666667,0.445721499061671,170.075446853285,3285.11472872132,288778.746676
2016-01-01,59981.0,3.437325,0.37252021115541,143.363097250993,2474.93596530518,283863.703504
2016-02-01,60198.0,3.50590476190476,0.174091242706681,146.558383261999,2456.84733705389,285960.462797
2016-03-01,61281.0,3.40738095238095,0.598118099213,153.818648000414,2822.10820341435,286360.314927
2016-04-01,61273.0,3.30154761904762,0.0114065609758854,156.410909432401,2804.3912120147,290715.999483
2016-05-01,60619.0,3.33372727272727,0.209563738332199,157.567072625252,2858.24766915968,295568.690531
2016-06-01,59564.0,3.31657142857143,0.139508528737671,155.999784793248,2703.8285707796,295538.987535
2016-07-01,61086.0,3.29873684210526,0.081747041914584,158.716530918806,3351.8949146639,305920.64249
2016-08-01,61769.0,3.33304545454545,0.358285853821853,158.029582145319,3260.0499164459,307324.164686
2016-09-01,61575.0,3.38229545454546,0.206464092392192,158.709475032525,3263.15550059017,307661.817683
2016-10-01,62009.0,3.38595238095238,0.413354520523768,158.941363854428,3565.87983644156,307563.778821
2016-11-01,61364.0,3.40289473684211,0.290064059118052,158.591978445039,3411.22260372139,310174.182539
2016-12-01,61686.0,3.39535714285714,0.33419524609934,175.993117904231,4115.82880435611,316713.531087
2017-01-01,62572.0,3.34,0.237843060107308,150.55456598191,3296.82693252499,315688.760485
2017-02-01,62291.0,3.259825,0.323171371975582,147.712570164296,3576.41383380271,315555.59216
2017-03-01,62487.0,3.26373913043478,1.30455818519093,155.609028623216,3300.15868292616,319077.307004
2017-04-01,62998.0,3.24736111111111,-0.258053478882145,156.899285181839,3139.65300528689,320486.941478
2017-05-01,63414.0,3.27286363636364,-0.423337988013419,163.331442484155,3547.0876048805,326366.90478
2017-06-01,62601.0,3.2678,-0.159198769026384,162.193228443208,3869.54066629959,329146.385933
2017-07-01,63050.0,3.24892105263158,0.198285823750627,162.256285785506,3447.1790441015,334333.389761
2017-08-01,62005.0,3.24143181818182,0.672225629676554,162.549945310578,4067.44195948772,336031.193949
